X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.95801093571,40.78556544054,28I-AM-1013-01,28I,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Jumped onto path & then back into brush,False,False,False,False,False,stood on fence,False,False,False,False,False,False,False,True,,POINT (-73.9580109357087 40.7855654405447)
-73.95941224351,40.79178711235,33E-AM-1014-01,33E,AM,10142018,1,Adult,Black,Cinnamon,Black+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,False,digging,False,False,False,False,False,False,False,True,,POINT (-73.959412243507 40.7917871123534)
-73.96631245607,40.77954400379,18F-PM-1008-02,18F,PM,10082018,2,Adult,Gray,,Gray+,,,,,False,False,False,False,False,hopping around,False,False,False,False,False,False,False,True,,POINT (-73.9663124560664 40.779544003786)
-73.95448087082,40.79065758523,34I-AM-1012-02,34I,AM,10122018,2,Adult,Gray,White,Gray+White,Short tail,Ground Plane,FALSE,,False,False,False,False,False,hiding,False,False,False,False,False,False,False,True,,POINT (-73.9544808708211 40.7906575852286)
-73.96398014117,40.77789213026,18I-PM-1007-04,18I,PM,10072018,4,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,False,walking sitting up,False,False,False,False,False,False,False,True,,POINT (-73.9639801411692 40.7778921302618)
-73.96432230166,40.78143190872,21F-AM-1018-03,21F,AM,10182018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,False,dead,False,False,False,False,False,False,False,True,,POINT (-73.9643223016635 40.781431908715)
-73.96449741968,40.78100202926,20G-PM-1013-02,20G,PM,10132018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.96449741968071 40.7810020292593)
-73.9683608296,40.78429274053,22B-AM-1013-04,22B,AM,10132018,4,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True,ran from dog-walker,POINT (-73.9683608295976 40.7842927405327)
-73.96717867153,40.78673527912,25A-AM-1013-04,25A,AM,10132018,4,,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.9671786715256 40.7867352791232)
-73.97622577013,40.77440327583,9A-AM-1013-08,09A,AM,10132018,8,Adult,,,+,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9762257701293 40.7744032758323)
