X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.97220565387,40.78051117627,17A-PM-1013-03,17A,PM,10132018,3,Adult,Gray,,Gray+,,Above Ground,15,tree,False,False,False,False,False,grooming! & scratching,False,False,False,False,False,False,True,False,,POINT (-73.9722056538718 40.7805111762703)
-73.96859351775,40.77355371396,11H-PM-1013-03,11H,PM,10132018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,False,planting nut,False,False,False,False,False,False,True,False,,POINT (-73.96859351775 40.7735537139641)
-73.9682278906,40.77330275081,11H-PM-1013-02,11H,PM,10132018,2,Adult,Gray,Black,Gray+Black,,Above Ground,10,,False,False,False,False,False,digging,False,False,False,False,False,False,True,False,,POINT (-73.9682278905989 40.7733027508057)
-73.96810931,40.77317539154,11H-PM-1013-01,11H,PM,10132018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,False,False,False,False,False,nut in mouth,False,False,False,False,False,False,True,False,,POINT (-73.9681093100008 40.7731753915361)
-73.97190684786,40.77890623126,15B-AM-1014-02,15B,AM,10142018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,,False,False,False,False,False,"grooming,scratching",False,False,False,False,False,False,True,False,,POINT (-73.9719068478565 40.7789062312585)
-73.96776542898,40.78678552945,25A-AM-1013-03,25A,AM,10132018,3,,Gray,,Gray+,,Above Ground,15,BIG TREE,False,False,False,False,False,being chased by #2,False,False,False,False,False,False,True,False,,POINT (-73.9677654289757 40.786785529449)
-73.9744279649,40.77777606122,13A-PM-1014-01,13A,PM,10142018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9744279648953 40.7777760612191)
-73.96579697897,40.77604028428,15H-PM-1008-03,15H,PM,10082018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,lawn moving east over Park path,False,False,False,False,False,not sure walk-pause-walk,False,False,False,False,False,False,True,False,,POINT (-73.96579697896901 40.7760402842845)
-73.97464934414,40.77504787349,11B-PM-1014-06,11B,PM,10142018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,15,,False,False,False,False,False,cleaning,False,False,False,False,False,False,True,False,,POINT (-73.9746493441414 40.7750478734868)
-73.97073392007,40.77963333557,17C-PM-1013-03,17C,PM,10132018,3,Adult,Gray,,Gray+,,Above Ground,20,in a tree,False,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9707339200738 40.7796333355689)
